Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,64.309998,65.120003,63.590000,64.540001,63.639771,9655542
2020-07-02,65.050003,66.239998,64.919998,65.809998,64.892059,7424191
2020-07-03,65.580002,65.989998,64.739998,65.110001,64.201828,5977504
2020-07-06,66.019997,67.209999,65.709999,67.180000,66.242950,7142097
2020-07-07,66.680000,66.820000,65.989998,66.750000,65.818947,5549362
2020-07-08,66.500000,66.889999,65.879997,66.230003,65.306206,5396490
2020-07-09,66.230003,66.430000,64.750000,64.959999,64.053917,5741420
2020-07-10,64.779999,65.879997,64.410004,65.680000,64.763870,5463656
2020-07-13,66.379997,67.739998,66.370003,67.610001,66.666954,8138386
2020-07-14,67.239998,68.910004,66.919998,68.570000,67.613556,8129604
2020-07-15,69.000000,69.220001,67.510002,68.330002,67.376907,7274071
2020-07-16,68.019997,68.849998,67.709999,68.599998,67.643135,5527721
2020-07-17,67.800003,70.290001,67.599998,69.599998,68.629196,12786333
2020-07-20,69.650002,70.260002,69.040001,69.779999,68.806679,8505031
2020-07-21,70.000000,72.349998,69.800003,71.000000,70.009674,10352918
2020-07-22,71.379997,72.000000,70.510002,71.680000,70.680183,7993052
2020-07-23,72.000000,72.839996,71.510002,71.510002,70.512558,5520935
2020-07-24,70.949997,71.449997,70.650002,71.040001,70.049110,4543865
2020-07-27,70.820000,71.190002,69.870003,69.949997,68.974312,5167632
2020-07-28,69.949997,70.930000,69.809998,69.930000,68.954590,6409481
2020-07-29,70.160004,70.900002,70.099998,70.519997,69.536354,5202980
2020-07-30,70.529999,70.529999,68.010002,68.349998,67.396637,7149800
2020-07-31,68.610001,69.290001,67.699997,67.709999,66.765556,7189323
2020-08-03,67.769997,69.169998,67.230003,68.940002,67.978409,5294688
2020-08-04,69.379997,70.370003,68.849998,69.010002,68.047432,6334922
2020-08-05,69.239998,69.510002,68.379997,68.930000,67.968544,4753420
2020-08-06,68.919998,69.639999,68.449997,68.970001,68.007988,4724133
2020-08-07,68.779999,69.029999,67.820000,68.230003,67.278313,3402193
2020-08-10,68.830002,69.699997,68.519997,69.559998,68.589752,5910609
2020-08-11,69.949997,71.449997,69.769997,71.230003,70.236465,6576065
2020-08-12,71.199997,72.059998,70.550003,70.839996,69.851898,6335181
2020-08-13,70.690002,71.309998,70.230003,70.339996,69.358871,4091015
2020-08-14,70.139999,70.169998,69.050003,69.790001,68.816544,4987354
2020-08-17,69.809998,70.419998,69.550003,69.550003,68.579895,4859455
2020-08-18,69.250000,69.750000,68.540001,68.949997,67.988258,4264728
